City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Bredasdorp,ZA,78.28,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
5,Issia,CI,89.82,overcast clouds,6.4922,-6.5856,Résidence Hôtel Ange Anaé
7,Balsas,BR,81.7,scattered clouds,-7.5325,-46.0356,Novo Hotel
8,Isangel,VU,75.99,broken clouds,-19.55,169.2667,Tanna Lodge
11,Manado,ID,79.57,few clouds,1.487,124.8455,Aryaduta Hotel
18,Olinda,BR,83.93,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
25,Hermanus,ZA,78.8,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
26,Bubaque,GW,79.74,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
29,Mulatupo,PA,77.72,overcast clouds,8.9492,-77.7652,Hostal Nuevo Sasardí
31,Atuona,PF,77.36,light rain,-9.8,-139.0333,Villa Enata
32,Butaritari,KI,82.89,few clouds,3.0707,172.7902,Isles Sunset Lodge
34,Bonthe,SL,84.43,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
36,Varzea Da Palma,BR,76.06,light rain,-17.5981,-44.7308,Casa Fernandes
39,Alofi,NU,77.77,overcast clouds,-19.0595,-169.9187,Taloa Heights
40,Mackay,AU,82.69,broken clouds,-21.15,149.2,International Lodge Motel
46,Vila Franca Do Campo,PT,75.2,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
52,Ippy,CF,85.68,light rain,6.2679,21.2247,
53,Sao Filipe,CV,77.09,scattered clouds,14.8961,-24.4956,Hotel Xaguate
56,Trinidad,BO,78.24,light rain,-14.8333,-64.9,Hotel Piesta
62,Carauari,BR,77.31,overcast clouds,-4.8828,-66.8958,Hotel Fellip
64,Grand-Santi,GF,77.34,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
67,Hambantota,LK,82.81,scattered clouds,6.1241,81.1185,Bungalow 63
68,Medeiros Neto,BR,79.74,overcast clouds,-17.3739,-40.2206,Pousada & Restaurante Visgueira
70,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
71,Myanaung,MM,79.75,broken clouds,18.2833,95.3167,Taung Hlay Khar
73,Caravelas,BR,84.31,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
