,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Qaanaaq,GL,77.484,-69.3632,-8.12,70,1,8.14,clear sky
1,Oktyabrskoye,RU,43.0645,44.7417,33.94,86,90,11.18,overcast clouds
2,Ixtapa,MX,20.7,-105.2,73.22,81,0,3.22,clear sky
3,Bredasdorp,ZA,-34.5322,20.0403,78.28,49,33,15.48,scattered clouds
4,Constantine,DZ,36.365,6.6147,59.99,53,76,4.79,broken clouds
5,Issia,CI,6.4922,-6.5856,89.82,52,86,2.98,overcast clouds
6,Yellowknife,CA,62.456,-114.3525,27.41,100,90,6.91,light snow
7,Balsas,BR,-7.5325,-46.0356,81.7,72,46,2.26,scattered clouds
8,Isangel,VU,-19.55,169.2667,75.99,82,78,9.33,broken clouds
9,Carnarvon,AU,-24.8667,113.6333,71.67,60,1,18.41,clear sky
10,Albany,US,42.6001,-73.9662,41.59,75,100,1.92,overcast clouds
11,Manado,ID,1.487,124.8455,79.57,94,20,1.14,few clouds
12,Punta Arenas,CL,-53.15,-70.9167,50.11,46,0,11.5,clear sky
13,Nanortalik,GL,60.1432,-45.2371,24.71,55,96,0.13,overcast clouds
14,Talnakh,RU,69.4865,88.3972,-8.73,99,97,5.68,overcast clouds
15,Portland,US,45.5234,-122.6762,57.61,94,90,1.99,moderate rain
16,Ushuaia,AR,-54.8,-68.3,51.46,43,75,13.8,broken clouds
17,Muros,ES,42.7762,-9.0603,64.24,66,3,0.69,clear sky
18,Olinda,BR,-8.0089,-34.8553,83.93,70,75,11.5,broken clouds
19,Ribeira Grande,PT,38.5167,-28.7,68.4,83,75,6.91,broken clouds
20,Saint Anthony,US,45.0205,-93.218,42.98,92,90,4.0,moderate rain
21,Geraldton,AU,-28.7667,114.6,64.81,77,0,12.66,clear sky
22,Torbay,CA,47.6666,-52.7314,42.58,90,90,17.27,light rain
23,Barrow,US,71.2906,-156.7887,19.42,86,90,12.66,light snow
24,Taltal,CL,-25.4,-70.4833,63.27,67,31,3.87,scattered clouds
25,Hermanus,ZA,-34.4187,19.2345,78.8,64,35,17.4,scattered clouds
26,Bubaque,GW,11.2833,-15.8333,79.74,73,100,5.61,light rain
27,Belaya Gora,RU,68.5333,146.4167,-7.76,93,100,4.72,overcast clouds
28,Pochutla,MX,15.7432,-96.4661,67.82,77,34,4.16,scattered clouds
29,Mulatupo,PA,8.9492,-77.7652,77.72,85,99,0.38,overcast clouds
30,Pisco,PE,-13.7,-76.2167,62.65,88,75,6.91,mist
31,Atuona,PF,-9.8,-139.0333,77.36,75,31,15.1,light rain
32,Butaritari,KI,3.0707,172.7902,82.89,74,24,13.35,few clouds
33,Rikitea,PF,-23.1203,-134.9692,74.28,80,84,12.28,light rain
34,Bonthe,SL,7.5264,-12.505,84.43,67,90,5.06,overcast clouds
35,Tiksi,RU,71.6872,128.8694,-8.52,99,79,7.52,broken clouds
36,Varzea Da Palma,BR,-17.5981,-44.7308,76.06,80,100,4.09,light rain
37,Hakkari,TR,37.5833,44.1667,38.98,81,75,11.5,broken clouds
38,Laguna,US,38.421,-121.4238,57.7,95,1,0.0,mist
39,Alofi,NU,-19.0595,-169.9187,77.77,79,100,10.69,overcast clouds
40,Mackay,AU,-21.15,149.2,82.69,84,52,17.47,broken clouds
41,Nikolskoye,RU,59.7035,30.7861,46.87,80,6,7.81,clear sky
42,Te Anau,NZ,-45.4167,167.7167,56.89,95,100,3.02,moderate rain
43,Port Elizabeth,ZA,-33.918,25.5701,72.1,82,75,13.8,broken clouds
44,Udachnyy,RU,66.4167,112.4,5.85,96,97,6.42,overcast clouds
45,Narsaq,GL,60.9167,-46.05,19.62,60,98,5.84,overcast clouds
46,Vila Franca Do Campo,PT,37.7167,-25.4333,75.2,80,29,7.18,scattered clouds
47,Busselton,AU,-33.65,115.3333,58.08,69,1,16.69,clear sky
48,Port Lincoln,AU,-34.7333,135.8667,54.52,71,100,20.38,overcast clouds
49,Talaya,RU,61.3833,152.75,18.9,91,100,5.57,overcast clouds
50,Lovozero,RU,68.005,35.0117,22.86,88,34,6.8,scattered clouds
51,Sellye,SK,48.1513,17.8806,52.02,51,11,10.94,few clouds
52,Ippy,CF,6.2679,21.2247,85.68,61,77,3.24,light rain
53,Sao Filipe,CV,14.8961,-24.4956,77.09,73,47,6.29,scattered clouds
54,Praia Da Vitoria,PT,38.7333,-27.0667,70.75,88,81,6.85,broken clouds
55,Avarua,CK,-21.2078,-159.775,73.45,83,75,11.5,broken clouds
56,Trinidad,BO,-14.8333,-64.9,78.24,81,100,7.2,light rain
57,Castro,BR,-24.7911,-50.0119,58.69,97,100,7.81,overcast clouds
58,Khatanga,RU,71.9667,102.5,-25.96,100,98,5.03,overcast clouds
59,Puerto Ayora,EC,-0.7393,-90.3518,68.65,93,93,6.96,overcast clouds
60,Saldanha,ZA,-33.0117,17.9442,65.61,77,16,16.75,few clouds
61,Mataura,NZ,-46.1927,168.8643,53.26,97,91,2.86,light rain
62,Carauari,BR,-4.8828,-66.8958,77.31,87,97,1.45,overcast clouds
63,Cape Town,ZA,-33.9258,18.4232,74.88,57,8,7.0,clear sky
64,Grand-Santi,GF,4.25,-54.3833,77.34,88,83,2.35,broken clouds
65,Lompoc,US,34.6391,-120.4579,65.12,62,1,0.0,clear sky
66,Quzhou,CN,28.9594,118.8686,54.41,62,79,0.78,broken clouds
67,Hambantota,LK,6.1241,81.1185,82.81,72,43,18.41,scattered clouds
68,Medeiros Neto,BR,-17.3739,-40.2206,79.74,72,100,5.1,overcast clouds
69,Tasiilaq,GL,65.6145,-37.6368,30.36,97,100,15.57,snow
70,Georgetown,MY,5.4112,100.3354,82.33,82,20,2.3,few clouds
71,Myanaung,MM,18.2833,95.3167,79.75,76,78,2.39,broken clouds
72,Klaksvik,FO,62.2266,-6.589,40.12,64,96,11.79,overcast clouds
73,Caravelas,BR,-17.7125,-39.2481,84.31,62,100,7.45,overcast clouds
74,Jalingo,NG,8.8833,11.3667,97.27,32,74,3.27,broken clouds
75,Bambous Virieux,MU,-20.3428,57.7575,81.21,70,4,9.17,clear sky
76,Porto Novo,BJ,6.4965,2.6036,88.75,60,62,7.9,light rain
77,Thompson,CA,55.7435,-97.8558,16.77,78,100,10.25,overcast clouds
78,Ostrovnoy,RU,68.0531,39.5131,33.12,90,94,16.75,overcast clouds
79,Port Alfred,ZA,-33.5906,26.891,67.69,78,91,18.23,overcast clouds
