City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2021-11-09 11:58:57,-46.1927,168.8643,56.23,76,100,2.01
1,San Patricio,US,2021-11-09 11:58:58,28.017,-97.5169,73.24,80,87,5.12
2,Awbari,LY,2021-11-09 11:58:58,26.5921,12.7805,83.62,13,100,7.56
3,Ushuaia,AR,2021-11-09 11:58:58,-54.8,-68.3,46.06,61,0,5.75
4,Bluff,NZ,2021-11-09 11:58:59,-46.6,168.3333,55.72,88,100,4.23
5,Jamestown,US,2021-11-09 11:58:59,42.097,-79.2353,50.52,54,91,3.0
6,Puerto Ayora,EC,2021-11-09 11:59:00,-0.7393,-90.3518,68.52,85,77,8.55
7,Hasaki,JP,2021-11-09 11:59:00,35.7333,140.8333,66.49,88,85,15.12
8,Kinshasa,CD,2021-11-09 11:59:00,-4.3246,15.3215,91.78,55,20,6.91
9,Hobart,AU,2021-11-09 11:57:44,-42.8794,147.3294,54.01,91,75,8.05
10,Iqaluit,CA,2021-11-09 11:59:01,63.7506,-68.5145,11.93,85,75,11.01
11,New Norfolk,AU,2021-11-09 11:59:02,-42.7826,147.0587,53.65,79,100,1.57
12,Broome,US,2021-11-09 11:59:02,42.2506,-75.833,48.56,86,5,1.01
13,San Quintin,MX,2021-11-09 11:59:03,30.4833,-115.95,59.32,86,16,9.51
14,Kanniyakumari,IN,2021-11-09 11:59:03,8.0833,77.5667,78.94,80,100,9.31
15,Kaitangata,NZ,2021-11-09 11:59:03,-46.2817,169.8464,53.4,97,100,1.54
16,Port Alfred,ZA,2021-11-09 11:59:04,-33.5906,26.891,68.56,57,15,15.52
17,Tasiilaq,GL,2021-11-09 11:59:04,65.6145,-37.6368,26.69,68,100,7.14
18,Korla,CN,2021-11-09 11:59:04,41.7597,86.1469,33.69,27,20,2.82
19,Hovd,MN,2021-11-09 11:59:05,48.0056,91.6419,22.6,44,0,0.11
20,Hit,IQ,2021-11-09 11:59:05,33.6416,42.8251,78.94,18,6,6.76
21,Arica,CL,2021-11-09 11:59:06,-18.475,-70.3042,64.63,68,90,2.3
22,Matamoros,MX,2021-11-09 11:59:06,25.5333,-103.25,59.77,53,98,0.56
23,Fort Nelson,CA,2021-11-09 11:59:07,58.8053,-122.7002,18.99,100,90,4.61
24,Cape Town,ZA,2021-11-09 11:58:26,-33.9258,18.4232,75.11,46,20,3.0
25,Ciudad Bolivar,VE,2021-11-09 11:59:07,8.1222,-63.5497,77.86,78,43,9.17
26,Atuona,PF,2021-11-09 11:58:33,-9.8,-139.0333,77.61,75,10,14.76
27,Vaini,TO,2021-11-09 11:59:08,-21.2,-175.2,75.36,100,90,3.44
28,Chokurdakh,RU,2021-11-09 11:59:08,70.6333,147.9167,-10.8,94,88,7.58
29,Guerrero Negro,MX,2021-11-09 11:59:08,27.9769,-114.0611,60.87,87,1,8.66
30,Chauk,MM,2021-11-09 11:59:09,20.8833,94.8167,79.63,64,37,5.3
31,Katsuura,JP,2021-11-09 11:59:09,35.1333,140.3,65.19,85,53,18.39
32,Zabol,AF,2021-11-09 11:59:09,32.25,67.25,57.81,26,2,17.9
33,Ocampo,MX,2021-11-09 11:59:11,21.65,-101.5,42.51,73,56,4.12
34,Cayenne,GF,2021-11-09 11:59:11,4.9333,-52.3333,78.84,89,75,8.01
35,Punta Arenas,CL,2021-11-09 11:59:11,-53.15,-70.9167,44.62,81,0,5.75
36,Luderitz,NA,2021-11-09 11:59:12,-26.6481,15.1594,75.36,45,0,24.85
37,Bluefield,US,2021-11-09 11:59:12,37.2698,-81.2223,49.78,52,25,3.27
38,Belyy Yar,RU,2021-11-09 11:59:12,53.6039,91.3903,33.69,55,80,2.24
39,Northam,GB,2021-11-09 11:59:13,51.0333,-4.2167,58.62,89,76,14.16
40,Khatanga,RU,2021-11-09 11:59:13,71.9667,102.5,3.06,96,96,9.24
41,Mar Del Plata,AR,2021-11-09 11:54:58,-38.0023,-57.5575,62.1,81,75,1.99
42,Byron Bay,AU,2021-11-09 11:59:14,-28.65,153.6167,73.35,88,15,6.87
43,Villamontes,BO,2021-11-09 11:59:14,-21.25,-63.5,72.84,88,90,0.0
44,Albany,US,2021-11-09 11:59:15,42.6001,-73.9662,48.54,89,0,3.58
45,Salalah,OM,2021-11-09 11:59:15,17.0151,54.0924,83.07,54,6,6.98
46,Haines Junction,CA,2021-11-09 11:59:15,60.7522,-137.5108,10.35,85,98,1.14
47,Palana,RU,2021-11-09 11:59:15,59.1167,159.9667,18.57,81,71,9.75
48,Molepolole,BW,2021-11-09 11:59:16,-24.4066,25.4951,80.74,11,70,2.8
49,Norman Wells,CA,2021-11-09 12:00:17,65.282,-126.8329,2.08,97,88,5.37
50,Provideniya,RU,2021-11-09 12:00:20,64.3833,-173.3,13.32,75,16,5.21
51,Port Elizabeth,ZA,2021-11-09 12:00:17,-33.918,25.5701,71.1,55,0,13.49
52,Tuatapere,NZ,2021-11-09 12:00:22,-46.1333,167.6833,54.1,90,100,3.18
53,Arraial Do Cabo,BR,2021-11-09 12:00:22,-22.9661,-42.0278,71.92,80,100,8.28
54,Ormara,PK,2021-11-09 12:00:23,25.2088,64.6357,82.76,43,6,8.88
55,Esperance,AU,2021-11-09 12:00:24,-33.8667,121.9,56.89,61,98,17.63
56,San Policarpo,PH,2021-11-09 12:00:24,12.1791,125.5072,81.32,84,100,12.95
57,Aklavik,CA,2021-11-09 12:00:25,68.2191,-135.0107,6.21,97,100,4.12
58,Daloa,CI,2021-11-09 12:00:26,6.8774,-6.4502,90.46,48,23,3.53
59,Betare Oya,CM,2021-11-09 12:00:26,5.6,14.0833,87.37,45,97,4.21
60,Nkhata Bay,MW,2021-11-09 12:00:27,-11.6066,34.2907,89.04,35,66,4.23
61,Cejkovice,CZ,2021-11-09 12:00:28,48.9059,16.9423,54.84,55,10,4.97
62,Zhigansk,RU,2021-11-09 12:00:28,66.7697,123.3711,16.45,94,100,17.63
63,Nizwa,OM,2021-11-09 12:00:29,22.9333,57.5333,86.97,18,5,4.21
64,Lagoa,PT,2021-11-09 12:00:29,39.05,-27.9833,64.67,81,71,3.6
65,Tuktoyaktuk,CA,2021-11-09 12:00:30,69.4541,-133.0374,8.56,96,90,6.85
66,Rikitea,PF,2021-11-09 12:00:30,-23.1203,-134.9692,74.7,75,94,12.97
67,Yinchuan,CN,2021-11-09 11:57:16,38.4681,106.2731,32.99,42,0,4.0
68,Mahebourg,MU,2021-11-09 12:00:31,-20.4081,57.7,80.26,72,47,9.46
69,Dingle,PH,2021-11-09 12:00:31,10.9995,122.6711,78.67,90,100,8.41
70,Honningsvag,NO,2021-11-09 12:00:32,70.9821,25.9704,30.02,65,100,20.96
71,Orlik,RU,2021-11-09 12:00:32,52.5178,99.825,14.5,86,68,3.29
72,Mazatlan,MX,2021-11-09 11:56:46,23.2167,-106.4167,74.91,92,98,1.01
73,Te Anau,NZ,2021-11-09 12:00:32,-45.4167,167.7167,51.06,92,100,1.72
74,Rabat,MA,2021-11-09 11:55:38,33.9911,-6.8401,69.21,63,3,3.44
75,Naze,JP,2021-11-09 12:00:33,28.3667,129.4833,61.57,63,77,15.68
76,Talnakh,RU,2021-11-09 12:00:33,69.4865,88.3972,8.83,96,100,5.26
77,Tiksi,RU,2021-11-09 12:00:34,71.6872,128.8694,15.57,87,100,8.72
78,Maldonado,UY,2021-11-09 12:00:34,-34.6667,-54.9167,65.23,65,4,7.81
79,Longyearbyen,SJ,2021-11-09 12:00:35,78.2186,15.6401,30.04,74,90,2.3
80,Barrow,US,2021-11-09 12:00:35,71.2906,-156.7887,12.83,96,99,7.96
81,Deputatskiy,RU,2021-11-09 12:00:35,69.3,139.9,-12.05,91,77,2.75
82,Buraydah,SA,2021-11-09 12:00:36,26.326,43.975,80.4,11,4,5.97
83,Narsaq,GL,2021-11-09 12:00:36,60.9167,-46.05,21.42,76,12,6.22
84,Viedma,AR,2021-11-09 12:00:37,-40.8135,-62.9967,61.59,43,4,13.6
85,Mount Gambier,AU,2021-11-09 12:00:37,-37.8333,140.7667,50.22,85,95,6.98
86,Qaanaaq,GL,2021-11-09 12:00:38,77.484,-69.3632,2.75,58,3,7.11
87,Pisco,PE,2021-11-09 11:55:40,-13.7,-76.2167,62.65,77,90,4.61
88,Upernavik,GL,2021-11-09 12:00:38,72.7868,-56.1549,16.34,93,100,14.09
89,Bintulu,MY,2021-11-09 12:00:38,3.1667,113.0333,80.62,83,100,3.74
90,Saint-Philippe,RE,2021-11-09 12:00:39,-21.3585,55.7679,81.99,82,36,8.99
91,Sur,OM,2021-11-09 12:00:40,22.5667,59.5289,81.14,49,2,14.7
92,San Cristobal,VE,2021-11-09 12:00:40,7.7669,-72.225,69.19,87,67,0.51
93,Santa Maria,BR,2021-11-09 12:01:41,-29.6842,-53.8069,67.69,57,0,8.66
94,Tual,ID,2021-11-09 12:01:41,-5.6667,132.75,84.97,74,58,10.47
95,Bambous Virieux,MU,2021-11-09 12:01:41,-20.3428,57.7575,80.22,71,56,10.02
96,Cap Malheureux,MU,2021-11-09 12:01:12,-19.9842,57.6142,80.47,70,38,8.01
97,Kruisfontein,ZA,2021-11-09 12:01:42,-34.0033,24.7314,68.88,39,0,13.15
98,Klaksvik,FO,2021-11-09 12:01:42,62.2266,-6.589,41.92,77,38,39.5
99,Eyl,SO,2021-11-09 12:01:43,7.9803,49.8164,83.61,56,31,16.37
100,Syracuse,IT,2021-11-09 12:01:43,37.0881,15.2792,73.45,79,100,5.77
101,Kapaa,US,2021-11-09 12:01:43,22.0752,-159.319,71.11,59,99,1.01
